x,z
0,-62.8074323607553
100.1001001001,-366.602635243566
200.2002002002,-105.704800191076
300.3003003003,-197.282546263024
400.4004004004,-474.770154627853
500.5005005005,-581.377661732016
600.600600600601,-788.90678302214
700.700700700701,-112.601920624331
800.800800800801,-578.706634183588
900.900900900901,-11.1750993023384
1001.001001001,-956.428786598651
1101.1011011011,-183.007364064818
1201.2012012012,-978.070042483195
1301.3013013013,-636.988787553345
1401.4014014014,-940.493818986349
1501.5015015015,-824.258199663837
1601.6016016016,-281.972308588077
1701.7017017017,-723.594250997795
1801.8018018018,-117.628065153337
1901.9019019019,-492.460430695986
2002.002002002,-931.474165086785
2102.1021021021,-133.923011646954
2202.2022022022,-578.422593014707
2302.3023023023,-570.280874148459
2402.4024024024,-781.699942731811
2502.5025025025,-891.344489136823
2602.6026026026,-298.382519281346
2702.7027027027,-785.196352956384
2802.8028028028,-948.145291386127
2902.9029029029,-922.637408807164
3003.003003003,-297.488406241752
3103.1031031031,-241.130296069863
3203.2032032032,-971.045431758
3303.3033033033,-880.814030182306
3403.4034034034,-653.926576058113
3503.5035035035,-518.560269197808
3603.6036036036,-997.590975707118
3703.7037037037,-966.818169840557
3803.8038038038,-595.78687660601
3903.9039039039,-143.036620153367
4004.004004004,-652.527022873622
4104.1041041041,-423.588167617342
4204.2042042042,-741.944129933349
4304.3043043043,-709.701422258769
4404.4044044044,-922.628768656866
4504.5045045045,-321.214499677333
4604.6046046046,-126.07870752229
4704.7047047047,-779.125302113118
4804.8048048048,-46.6564044712471
4904.9049049049,-430.540845926503
5005.005005005,-919.252191113942
5105.10510510511,-143.087036052931
5205.2052052052,-115.131210095409
5305.30530530531,-693.237234411995
5405.4054054054,-288.078403268421
5505.50550550551,-205.240054122216
5605.60560560561,-83.301348893703
5705.70570570571,-393.242987281824
5805.80580580581,-641.27833009008
5905.90590590591,-665.644323351055
6006.00600600601,-897.965558120546
6106.10610610611,-948.665904303973
6206.20620620621,-699.348176392979
6306.30630630631,-181.966618054309
6406.40640640641,-286.606232262421
6506.50650650651,-120.30752195559
6606.60660660661,-377.61067258027
6706.70670670671,-738.260749168737
6806.80680680681,-405.009616772999
6906.90690690691,-56.1403200435361
7007.00700700701,-537.53131814622
7107.10710710711,-914.840298578089
7207.20720720721,-83.7879680745357
7307.30730730731,-214.438146095506
7407.40740740741,-428.332426019234
7507.50750750751,-91.7214291481611
7607.60760760761,-214.00851405389
7707.70770770771,-907.450679056533
7807.80780780781,-529.232474224744
7907.90790790791,-517.867342649589
8008.00800800801,-988.58050530566
8108.10810810811,-232.567554111476
8208.20820820821,-312.770702026716
8308.30830830831,-915.377234844344
8408.40840840841,-505.858675355364
8508.50850850851,-884.184924003508
8608.60860860861,-735.830861065866
8708.70870870871,-104.985712481255
8808.80880880881,-426.971013831245
8908.90890890891,-671.469504743064
9009.00900900901,-476.988201343146
9109.10910910911,-422.45963477914
9209.20920920921,-514.07932533976
9309.30930930931,-753.546698485468
9409.40940940941,-86.5148368387839
9509.50950950951,-869.185784500316
9609.60960960961,-712.007910949514
9709.70970970971,-924.241620537536
9809.80980980981,-16.8004654693308
9909.90990990991,-717.526637736562
10010.01001001,-977.180555167053
10110.1101101101,-842.014209536821
10210.2102102102,-334.968295110856
10310.3103103103,-939.979316102137
10410.4104104104,-49.8569613363322
10510.5105105105,-98.1307988101183
10610.6106106106,-117.59121380475
10710.7107107107,-252.39965805995
10810.8108108108,-445.589994198741
10910.9109109109,-290.801686115031
11011.011011011,-404.960376859359
11111.1111111111,-170.093453805511
11211.2112112112,-40.5206938736989
11311.3113113113,-684.204331611161
11411.4114114114,-51.7738577730451
11511.5115115115,-816.726267789421
11611.6116116116,-30.0822179790385
11711.7117117117,-642.84657784103
11811.8118118118,-983.513917061147
11911.9119119119,-487.391880720778
12012.012012012,-53.29342264884
12112.1121121121,-382.227628974115
12212.2122122122,-551.73463784365
12312.3123123123,-344.533636842988
12412.4124124124,-579.482798260777
12512.5125125125,-568.97197319081
