xobs,zobs,u
1169.51627863582,775.994797953159,5.45894107365961
1698.34871200087,215.58861189828,5.52917055124489
3038.84949495336,287.520238198624,5.42279669113363
3042.59812909304,279.334418870955,5.50162900953456
3358.40999092767,722.290111415973,5.61726550618858
3451.36931915807,682.1455459709,5.6191794136164
3618.58589101467,825.735682418572,5.56724771885988
3928.36200369624,162.931627667508,5.54651364334174
5971.57943889369,550.873400709422,5.55759740701642
6354.3027197594,479.993083969884,5.45864368438954
6683.14709740601,806.596860213697,5.71404054428509
7211.98547212911,848.53019482921,5.54011782167506
7560.72119508249,479.308922346758,5.51745752942775
7625.7785525484,426.228875688562,5.58674714238553
7645.07370345761,453.090806826226,5.4588096979096
7654.48074888265,466.186916185803,5.46706112021305
8477.2870746946,543.049355244503,5.41509562874279
8722.88967028566,438.660461223068,5.64188136366668
9397.74376132679,972.303711831813,5.3616427345236
9610.80105426009,850.873087238254,5.47963635238451
10556.0742961804,181.703610385903,5.41059679873949
11343.7483559865,755.726520239105,5.69669270632868
11534.5338475308,661.698331163636,5.54285673841013
11903.6984689807,987.234537720235,5.58332083582409
12151.229932341,673.888997328638,5.74717530723784
13504.104531927,872.267923873078,5.40499374994065
13717.2509833136,578.622035603291,5.74829389420333
13720.5085921734,577.025816269255,5.53468950296633
13724.5018817413,575.069115422463,5.49878385814161
13806.1318777278,535.070643096097,5.49142074731698
13818.5226180783,517.383449840127,5.46584283842851
14406.3714096062,364.127350805029,5.48498754832616
14605.7119948235,392.826325205722,5.57329547537235
16288.6018139009,738.132834629475,5.41604067561684
16428.8641375462,68.8250765962141,5.71475807202503
16721.3685621102,59.4217467736862,5.59353480855399
17780.8708430365,402.376791011974,5.6545430386944
17799.5688819194,295.124680088345,5.67962122267053
18243.546187304,756.814116773099,5.52782629766248
18368.7491579373,502.601571355686,5.49726245709213
19760.6753149528,378.732024828343,5.66467042257353
20838.4186343101,574.839196828411,5.67752364819246
21834.1452085588,305.984733029426,5.48989033561636
22356.4422452986,332.816877667088,5.57225766317908
22569.3398825581,670.636955775458,5.42966448382476
22670.6127121836,555.883853977827,5.4938698898873
